,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain (inches),Snow (inches)
45,Adrar,MR,20.5,-10.07,102.13,22,39,7.09,scattered clouds,0.0,0
46,College,US,64.86,-147.8,62.01,67,75,2.39,broken clouds,0.0,0
47,Black Forest,US,39.01,-104.7,81.0,57,1,12.75,clear sky,0.0,0
48,Marsa Matruh,EG,31.35,27.25,77.0,78,40,12.75,scattered clouds,0.0,0
49,Mecca,SA,21.43,39.83,85.57,32,75,4.38,broken clouds,0.0,0
50,Montabaur,DE,50.43,7.83,72.0,48,63,5.37,broken clouds,0.0,0
51,Sungairaya,ID,0.7,108.9,77.45,89,84,4.32,broken clouds,0.0,0
52,Bathsheba,BB,13.22,-59.52,80.6,88,90,18.34,shower rain,0.0,0
53,Muros,ES,42.78,-9.06,87.01,54,20,12.75,few clouds,0.0,0
54,Hermanus,ZA,-34.42,19.23,57.0,59,0,11.01,clear sky,0.0,0
55,Port Augusta,AU,-32.5,137.77,46.4,93,75,5.82,broken clouds,0.0,0
56,Ribeira Grande,PT,38.52,-28.7,75.2,73,20,13.87,few clouds,0.0,0
57,Narsaq,GL,60.92,-46.05,62.6,51,99,4.7,light rain,0.28,0
58,Harper,LR,4.38,-7.72,77.86,73,73,7.67,broken clouds,0.0,0
59,Nelson Bay,AU,-32.72,152.15,50.0,100,75,5.82,broken clouds,0.0,0
60,Kaitangata,NZ,-46.28,169.85,37.99,80,24,7.0,few clouds,0.0,0
